epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,11161.2,1.16935,1.53699,0.79505,0.23042,0.06504,0.03745,0.02595,1.53627,5.12635,0.68065,1.43792e-05,1.43792e-05,1.43792e-05
70,11315.6,1.16511,1.53839,0.8004,0.23766,0.06932,0.04356,0.02996,1.5397,5.14415,0.68114,1.39436e-05,1.39436e-05,1.39436e-05
71,11470.1,1.15587,1.55176,0.79722,0.24908,0.06556,0.03799,0.02686,1.53676,5.14555,0.68129,1.3508e-05,1.3508e-05,1.3508e-05
72,11625,1.15953,1.49087,0.79692,0.26749,0.06681,0.03846,0.02688,1.53594,5.15228,0.67847,1.30724e-05,1.30724e-05,1.30724e-05
73,11779.6,1.17407,1.53599,0.80107,0.24965,0.06439,0.03852,0.02715,1.54213,5.10094,0.67914,1.26368e-05,1.26368e-05,1.26368e-05
74,11934.6,1.15081,1.49586,0.79767,0.26376,0.06206,0.03843,0.02715,1.53652,5.07881,0.67855,1.22012e-05,1.22012e-05,1.22012e-05
75,12089.4,1.16643,1.53776,0.79676,0.26354,0.06602,0.03809,0.02727,1.5393,5.11203,0.67779,1.17656e-05,1.17656e-05,1.17656e-05
76,12243.9,1.15981,1.49638,0.79782,0.26591,0.06449,0.03921,0.02726,1.52702,5.03615,0.67707,1.133e-05,1.133e-05,1.133e-05
77,12398.6,1.1639,1.51773,0.79802,0.26439,0.06474,0.03813,0.02665,1.53127,5.09707,0.67811,1.08944e-05,1.08944e-05,1.08944e-05
78,12553.5,1.16645,1.52093,0.79583,0.25279,0.06606,0.03895,0.02748,1.52479,5.0641,0.67679,1.04588e-05,1.04588e-05,1.04588e-05
79,12707.7,1.15269,1.49602,0.79499,0.26556,0.06458,0.03851,0.02664,1.53372,5.04656,0.67709,1.00232e-05,1.00232e-05,1.00232e-05
80,12862.2,1.16549,1.49415,0.79867,0.25076,0.06445,0.03896,0.02718,1.53208,5.06833,0.67863,9.5876e-06,9.5876e-06,9.5876e-06
81,13017,1.15397,1.47199,0.79541,0.22677,0.06758,0.03929,0.02676,1.52585,5.08903,0.67844,9.152e-06,9.152e-06,9.152e-06
82,13171,1.15185,1.49377,0.79628,0.24229,0.06507,0.03967,0.02787,1.52282,5.02943,0.67709,8.7164e-06,8.7164e-06,8.7164e-06
83,13326,1.1418,1.48674,0.79577,0.23583,0.06566,0.03915,0.02745,1.52507,5.01853,0.6756,8.2808e-06,8.2808e-06,8.2808e-06
84,13480.6,1.15912,1.48005,0.79709,0.24359,0.06327,0.03953,0.028,1.53022,5.02911,0.67644,7.8452e-06,7.8452e-06,7.8452e-06
85,13635,1.1405,1.4805,0.79939,0.2359,0.06331,0.03936,0.02768,1.52571,5.03799,0.67629,7.4096e-06,7.4096e-06,7.4096e-06
86,13789.9,1.16622,1.47746,0.7976,0.25278,0.06439,0.03974,0.02799,1.52915,5.0307,0.67674,6.974e-06,6.974e-06,6.974e-06
87,13944.4,1.13915,1.45658,0.79784,0.25855,0.06445,0.03871,0.0271,1.52381,5.05378,0.67616,6.5384e-06,6.5384e-06,6.5384e-06
88,14099.4,1.14267,1.46205,0.79759,0.2557,0.06229,0.03863,0.02699,1.52178,5.01461,0.67583,6.1028e-06,6.1028e-06,6.1028e-06
89,14253.9,1.16584,1.47611,0.79593,0.25941,0.06429,0.0385,0.02693,1.5261,5.03049,0.67623,5.6672e-06,5.6672e-06,5.6672e-06
90,14408.6,1.1442,1.45051,0.7963,0.25996,0.06339,0.0388,0.02727,1.52366,5.06153,0.6761,5.2316e-06,5.2316e-06,5.2316e-06
